run,quantitative_status,inductive_power_W,rf_bias_power_W,cl2_flow_sccm,observed_feature_depth_nm,reactor_reduced_field_Td,reactor_mean_electron_energy_eV,reactor_electron_density_m3,reactor_atomic_chlorine_density_m3,reactor_total_axial_ion_flux_m2_s,wafer_total_positive_ion_flux_m2_s,wafer_clplus_flux_m2_s,wafer_cl2plus_flux_m2_s,wafer_clplus_fraction,wafer_atomic_chlorine_flux_m2_s,wafer_neutral_to_total_ion_ratio,mean_sheath_energy_gain_eV,mean_impact_energy_eV,ion_power_closure_relative_residual,surface_chlorination_fraction,rf_sheath_surface_chlorination_fraction,clplus_only_surface_plane_depth_nm_75s,cl2plus_surface_plane_depth_nm_75s,species_resolved_surface_plane_depth_nm_75s,rf_sheath_clplus_surface_plane_depth_nm_75s,rf_sheath_cl2plus_surface_plane_depth_nm_75s,rf_sheath_species_resolved_surface_plane_depth_nm_75s,joined_species_resolved_surface_plane_depth_nm_75s,all_positive_ions_as_clplus_sensitivity_depth_nm_75s,clplus_only_signed_error_percent,all_ions_as_clplus_signed_error_percent,species_resolved_signed_error_percent,rf_sheath_species_resolved_signed_error_percent,joined_species_resolved_signed_error_percent,rf_sheath_frequency_hz,rf_sheath_bias_dc_component_v,rf_sheath_dc_v,rf_sheath_amplitude_v,rf_sheath_clplus_mean_energy_eV,rf_sheath_clplus_standard_deviation_eV,rf_sheath_cl2plus_mean_energy_eV,rf_sheath_cl2plus_standard_deviation_eV,rf_sheath_clplus_probability_inside_35_100eV,rf_sheath_cl2plus_probability_inside_26_625eV,rf_sheath_power_closure_relative_residual,surface_energy_inside_measured_35_100eV,surface_neutral_ion_ratio_inside_measured_domain,surface_cl2plus_energy_inside_measured_26_625eV,surface_high_chlorination_scope,excluded_cl2plus_surface_kinetics,feature_transport_applied,formal_feature_depth_pass,sicl2_reflective_wall_flux_m2_s,sicl2_reflective_wall_to_total_ion_ratio,sicl2_reflective_wall_residence_time_s,sicl2_reflective_wall_wall_loss_frequency_s_inv,sicl2_reflective_wall_surface_chlorination_fraction,sicl2_reflective_wall_surface_plane_depth_nm_75s,sicl2_reflective_wall_signed_error_percent,sicl2_reflective_wall_fixed_point_relative_residual,sicl2_reactive_wall_flux_m2_s,sicl2_reactive_wall_to_total_ion_ratio,sicl2_reactive_wall_residence_time_s,sicl2_reactive_wall_wall_loss_frequency_s_inv,sicl2_reactive_wall_surface_chlorination_fraction,sicl2_reactive_wall_surface_plane_depth_nm_75s,sicl2_reactive_wall_signed_error_percent,sicl2_reactive_wall_fixed_point_relative_residual,table4_product_reflective_wall_sicl2_flux_m2_s,table4_product_reflective_wall_sicl2_to_total_ion_ratio,table4_product_reflective_wall_total_product_ion_flux_m2_s,table4_product_reflective_wall_total_neutral_density_m3,table4_product_reflective_wall_total_positive_ion_density_m3,table4_product_reflective_wall_chlorine_atom_source_m3_s,table4_product_reflective_wall_table4_threshold_power_lower_bound_W_m3,table4_product_reflective_wall_elemental_si_density_m3,table4_product_reflective_wall_surface_chlorination_fraction,table4_product_reflective_wall_surface_plane_depth_nm_75s,table4_product_reflective_wall_signed_error_percent,table4_product_reflective_wall_fixed_point_relative_residual,table4_product_reflective_wall_silicon_inventory_relative_residual,table4_product_reflective_wall_linear_balance_maximum_relative_residual,table4_product_reflective_wall_matrix_condition_number,table4_product_reactive_wall_sicl2_flux_m2_s,table4_product_reactive_wall_sicl2_to_total_ion_ratio,table4_product_reactive_wall_total_product_ion_flux_m2_s,table4_product_reactive_wall_total_neutral_density_m3,table4_product_reactive_wall_total_positive_ion_density_m3,table4_product_reactive_wall_chlorine_atom_source_m3_s,table4_product_reactive_wall_table4_threshold_power_lower_bound_W_m3,table4_product_reactive_wall_elemental_si_density_m3,table4_product_reactive_wall_surface_chlorination_fraction,table4_product_reactive_wall_surface_plane_depth_nm_75s,table4_product_reactive_wall_signed_error_percent,table4_product_reactive_wall_fixed_point_relative_residual,table4_product_reactive_wall_silicon_inventory_relative_residual,table4_product_reactive_wall_linear_balance_maximum_relative_residual,table4_product_reactive_wall_matrix_condition_number,board_clplus_only_mape_percent,board_species_resolved_mape_percent,board_rf_sheath_species_resolved_mape_percent,board_joined_species_resolved_mape_percent,board_sicl2_reflective_wall_mape_percent,board_sicl2_reactive_wall_mape_percent,board_table4_product_reflective_wall_mape_percent,board_table4_product_reactive_wall_mape_percent,board_all_ions_as_clplus_mape_percent
1,usable,400.0,80.0,100.0,393.75,364.81089652957826,3.65487106996815,2.2607116527145628e+16,7.432323013047498e+19,2.7550580136425517e+19,1.2483018148921528e+20,3.441837199476496e+19,9.04118094944503e+19,0.2757215569516619,1.2483018148921525e+22,99.99999999999999,100.0,120.0,0.0,0.9179798663043532,0.9183696523428199,194.9700834397196,174.70543000174797,369.67551344146756,186.61068310274584,179.3048222979708,365.9155054007166,365.9155054007166,583.7889529505125,-50.48378833276963,48.26386106679681,-6.114155316452685,-7.069077993468797,-7.069077993468797,13560000.0,97.24927919340081,117.24927919340081,97.24927919340081,113.93122753470152,23.692987763031823,123.99236202226831,16.784508863713963,0.40625,1.0,2.8421709430403926e-15,False,True,True,True,False,False,False,3.744905444676471e+19,0.30000000000000104,0.14976976452349836,0.0,0.8741955641722755,356.9394283407693,-9.348716611868113,-1.5509411614801864e-13,3.744905444676471e+19,0.30000000000000104,0.004495932495944861,215.74635325870247,0.8741955641722755,356.9394283407693,-9.348716611868113,-1.5509411614801864e-13,2.9669915633666916e+20,2.3768222780506214,1.6325827993141051e+19,1.3701681703594293e+19,7.47447429504261e+16,2.010769915697083e+20,314.76492858436603,4.169093761663663e+18,0.658182815902218,313.0461154348574,-20.49622465146478,1.4070290092982157e-13,0.0,9.529653615147947e-17,1361.8662022918138,2.760791900940654e+20,2.2116381375117786,4.1129734643795594e+18,6.415720368200398e+18,2.4884050775862964e+16,1.0864764860269545e+20,121.25573024454823,623864315028535.9,0.6712218305869084,315.6956143932447,-19.82333602711246,3.906107083379122e-13,0.0,1.1106981938625446e-16,407.7860638115008,40.57527514980007,21.806066891486672,21.720058157389566,21.720058157389573,18.17023665212713,21.055279569866286,15.017034642769623,15.392888720472454,83.05920279886287
2,usable,550.0,80.0,175.0,459.375,350.4050482994854,3.602300303083126,3.4328193113869948e+16,8.316845648567085e+19,3.785720337043396e+19,1.7152893129670882e+20,5.227689454948586e+19,1.1925203674722296e+20,0.3047701291804697,1.3968625285874458e+22,81.43597223089839,72.7750010132608,92.7750010132608,0.0,0.8942778871878047,0.8940475478089989,239.52671548526425,178.39074753075394,417.9174630160182,243.78222979902372,177.33332729510403,421.1155570941278,421.11555709412767,636.6582916017543,-47.85812996239146,38.592281165007726,-9.024769955696721,-8.328586210802113,-8.328586210802136,13560000.0,72.94153752013325,92.94153752013325,72.94153752013325,96.28926822363147,21.64642356018235,92.96159123537264,16.20417039419972,0.5416666666666666,1.0,-3.552713678800501e-16,True,True,True,True,False,False,False,2.4098205175619125e+19,0.14049061574303356,0.08315595330853456,0.0,0.8667945776447114,413.6844200683869,-9.946248692596049,7.767682225122013e-14,4.1852553821010305e+19,0.24399705346857334,0.004390356222298728,215.74635325870247,0.8477936154151483,408.50337913605443,-11.074094337729646,2.7892204738387466e-13,2.1528618368037542e+20,1.2551012942998858,1.4551604180697512e+19,8.944041663396841e+18,6.111426353622549e+16,1.9887271032222836e+20,295.5258816188474,2.2243279211597025e+18,0.6994106643225897,368.043420635915,-19.881704351365435,-3.152200798020187e-13,-2.2140684031860823e-16,2.1001851108778496e-16,821.6629983867025,2.022350244852163e+20,1.1790140762632773,4.3218458183338834e+18,4.713405641010931e+18,2.3212850668693452e+16,1.1577611638144555e+20,129.27928637906362,938006207140087.9,0.708671909211873,370.56870794905313,-19.33198194306326,-5.661303836535472e-13,0.0,9.822869672660387e-17,284.4136096422406,40.57527514980007,21.806066891486672,21.720058157389566,21.720058157389573,18.17023665212713,21.055279569866286,15.017034642769623,15.392888720472454,83.05920279886287
3,usable,250.0,80.0,25.0,250.0,385.58510229669764,3.73831747483725,1.2268469504919362e+16,6.26687605846311e+19,1.7675149967132973e+19,8.008514402675548e+19,1.923112481352557e+19,6.085401921322991e+19,0.2401334860195879,1.0525582302801463e+22,131.42989790072667,155.8718324181461,175.8718324181461,0.0,0.9426022965709366,0.9426539193301176,144.98143256596344,163.9231560224944,308.90458858845784,143.46340580189678,165.29508846391698,308.75849426581374,308.7584942658138,511.87833604775284,-42.00742697361463,104.75133441910111,23.561835435383127,23.5033977063255,23.503397706325522,13560000.0,150.90329476467065,170.90329476467065,150.90329476467065,173.8685423098908,23.509440036973256,178.14481435691062,17.777665528634408,0.0,1.0,-1.5987211554602255e-15,False,True,True,True,False,False,False,1.2585703323833975e+20,1.5715403245861983,0.6214616351394623,0.0,0.81345289693249,289.0952665147184,15.638106605887359,6.121037976011348e-13,3.2539343137562616e+19,0.4063093540381424,0.004600758526989067,215.74635325870247,0.9053217023918363,303.0768682965428,21.230747318617116,6.528053104882417e-13,5.7076073923930076e+20,7.1269240528382705,3.7591455149918724e+19,4.529092955026651e+19,1.7769648243975885e+17,3.035141884861198e+20,607.9273840728266,2.5308594575983333e+19,0.5524730106411931,249.37648683813453,-0.24940526474619418,-1.7900779954867095e-13,1.6338214539837968e-16,8.174391221905613e-17,5717.199210920067,5.134532457824241e+20,6.41134197886796,4.640973575972555e+18,1.188760428106356e+19,3.2692858675558332e+16,1.167379234892196e+20,130.22550250006023,397795300994042.06,0.5758656133419181,252.936629521678,1.174651808671201,-1.8979728495337104e-13,0.0,8.109534945102912e-17,816.576883133918,40.57527514980007,21.806066891486672,21.720058157389566,21.720058157389573,18.17023665212713,21.055279569866286,15.017034642769623,15.392888720472454,83.05920279886287
4,usable,400.0,20.0,175.0,175.0,368.220080141793,3.66256426981277,2.2152178140682124e+16,7.149265497440088e+19,2.721704004170975e+19,1.2331892944475282e+20,3.290796284674948e+19,9.041096659800334e+19,0.266852485623404,1.2007606612271005e+22,97.37034424751832,25.306370654381062,45.30637065438106,0.0,0.9289476568954366,0.927986708509053,78.41305797083851,48.69454336081619,127.1076013316547,83.38905006586877,50.01854722844781,133.4075972943166,133.4075972943166,247.49521536907127,-55.192538302378004,41.42583735375502,-27.36708495334017,-23.767087260390518,-23.767087260390518,13560000.0,25.485635186524455,45.485635186524455,25.485635186524455,47.76643291980061,7.607984335361199,46.07617620540779,5.6231183571076295,1.0,1.0,-5.861977570020826e-15,True,True,True,True,False,False,False,7.964680653264928e+18,0.06458603467550474,0.08635931693611838,0.0,0.9084818408464925,131.65488642989635,-24.768636325773517,-7.98790595250295e-13,1.3396675477427816e+19,0.10863438028327646,0.004398971208248228,215.74635325870247,0.895659413453371,130.5026608322163,-25.427050953019258,3.545142231744107e-13,8.272759132479475e+19,0.6708426005421732,3.0891236904177157e+18,2.9854275680448297e+18,1.544351250746799e+16,4.735769064907163e+19,66.54685161062082,5.076787526910882e+17,0.759775983884779,118.29215177263882,-32.40448470134925,-1.4893178687661457e-13,0.0,2.354949518863867e-16,705.9640506165155,7.860197426292703e+19,0.6373877442565775,1.1462775599210988e+18,1.8153382790518472e+18,7016272690427248.0,3.0346053466755523e+19,34.28210627361094,169995938680954.0,0.7666537255018809,118.91018685308742,-32.051321798235755,6.818157495730605e-13,0.0,1.514541050519073e-16,299.36020311035674,40.57527514980007,21.806066891486672,21.720058157389566,21.720058157389573,18.17023665212713,21.055279569866286,15.017034642769623,15.392888720472454,83.05920279886287
5,usable,550.0,20.0,100.0,162.5,346.83659618786396,3.5943006119043153,3.5097349287590064e+16,8.605448938889083e+19,3.8413639750347375e+19,1.7405011429713347e+20,5.4756243563593425e+19,1.1929387073354005e+20,0.31460044588143793,1.4453351273241195e+22,83.0413202060117,17.93020676736079,37.93020676736079,0.0,0.9106768878726305,0.9086969325378637,97.9663082502314,41.72285453890617,139.68916278913758,106.43074559493581,43.29684480005532,149.72759039499113,149.72759039499113,263.1226022357588,-39.71304107678068,61.921601375851566,-14.037438283607639,-7.859944372313155,-7.859944372313155,13560000.0,17.07785993382049,37.07785993382049,17.07785993382049,40.34038234206964,7.191036633982198,38.57196074993789,4.74973237371032,0.6979166666666666,1.0,1.77635683940025e-16,True,True,True,True,False,False,False,1.4719393028879583e+19,0.08456985557476307,0.14413725132418537,0.0,0.8749742003457758,145.7778295867552,-10.290566408150648,-4.034948987602434e-15,1.5262017744647358e+19,0.08768749050398479,0.004490664659985334,215.74635325870247,0.8737805516725338,145.63802398851604,-10.37660062245167,3.5090510898391984e-13,9.706846163691307e+19,0.55770409590884,1.0074956302026177e+19,5.404120635050947e+18,3.859408542007492e+16,1.0825390759739267e+20,183.21073090869513,2.1886504812304556e+18,0.7257013398878767,128.2943086605293,-21.04965620890504,6.996266228471332e-13,0.0,7.264362689657852e-17,1608.0406288104778,8.943090048966061e+19,0.5138227047469023,1.9538135478104067e+18,2.0872057856869076e+18,1.0349822675467184e+16,5.2004862477102604e+19,57.559425577677544,434253799317947.25,0.7372837921715765,129.6508985071893,-20.214831687883507,-5.954094133957219e-14,1.5712835738375513e-16,1.6318067854769137e-16,367.47595544570953,40.57527514980007,21.806066891486672,21.720058157389566,21.720058157389573,18.17023665212713,21.055279569866286,15.017034642769623,15.392888720472454,83.05920279886287
6,usable,550.0,80.0,25.0,296.875,343.0135871096685,3.585721556941111,3.5947227760395332e+16,8.911455296618435e+19,3.9027955037876494e+19,1.7683354348280322e+20,5.7516109953254605e+19,1.193174335295486e+20,0.32525565467078904,1.4967306723040007e+22,84.64065373714323,70.59191318040561,90.59191318040561,0.0,0.8920102246563377,0.8916145365697367,258.2322442047412,173.99986843142113,432.23211263616236,265.9139494510902,171.18148493544103,437.0954343865312,437.0954343865312,651.8750921919161,-13.016507215245065,119.57897842254015,45.59397478270733,47.232146319673674,47.232146319673674,13560000.0,70.90724418184335,90.90724418184335,70.90724418184335,95.56749137437258,21.68286177942835,89.96486913506862,16.303583667153646,0.5416666666666666,1.0,7.815970093361041e-15,True,True,True,True,False,False,False,1.5767231915216408e+20,0.891642592501108,0.5706721089871791,0.0,0.7484855176526604,394.408823591999,32.8534984730944,-4.281162372886523e-14,4.540090420173991e+19,0.25674373372580794,0.004597729200946547,215.74635325870247,0.844855940762846,423.1502121275568,42.53480829559808,-4.853753551268587e-14,3.8093323859707186e+20,2.1541910606689676,1.3325127147607043e+20,5.897890066158874e+19,4.3117301762178963e+17,8.223448364087323e+20,2005.1050291672784,4.52808925265592e+19,0.6118066312290582,353.6458918487542,19.122826728001428,-4.5005832683805565e-13,-1.0368931106954643e-15,1.0469420320724892e-16,8378.341236456185,3.403615678058546e+20,1.9247568142463547,7.569515032823638e+18,7.888747771002798e+18,3.943154227659645e+16,1.9978282251627682e+20,218.77577094031946,1735008278271140.0,0.6326265255924676,359.85518982479243,21.21437973045639,-4.884947295072956e-13,1.1322239218326303e-16,9.547213371970608e-17,515.3338956228314,40.57527514980007,21.806066891486672,21.720058157389566,21.720058157389573,18.17023665212713,21.055279569866286,15.017034642769623,15.392888720472454,83.05920279886287
7,usable,250.0,80.0,175.0,265.625,392.46243076537485,3.7539079099122072,1.1800778004300218e+16,5.685652699141552e+19,1.7321558546629546e+19,7.848304051474576e+19,1.7539970307729897e+19,6.094307020701587e+19,0.22348739540021267,9.549383914995765e+21,121.67448983072441,159.0537021380582,179.0537021380582,0.0,0.9422594500545707,0.9423282693620353,133.74697732005748,166.56485893379653,300.31183625385404,131.87689522680594,168.10392526784588,299.9808204946518,299.9808204946518,499.50405490204014,-49.64819677362542,88.04858537488569,13.058573648509753,12.933955950927745,12.933955950927745,13560000.0,156.03155239312147,176.03155239312147,156.03155239312147,176.03561933968268,23.83877650336391,181.53377276274261,17.403828753457482,0.0,1.0,1.0444978215672382e-13,False,True,True,True,False,False,False,1.8779772258906026e+19,0.23928446369732062,0.0903748733826518,0.0,0.9184111011682861,296.63366219901417,11.673849298452389,-6.174609489473908e-13,3.0317096990036128e+19,0.38628851266714126,0.004408949934793159,215.74635325870247,0.9043311056068418,294.6631958978095,10.932026690940045,4.3733580442604906e-13,2.312091106651869e+20,2.9459754508586635,3.938516703604067e+18,7.083898640487402e+18,2.4534880318880132e+16,6.68804225790933e+19,89.73902604333473,6.27155334413999e+17,0.7153458702458224,268.2151024961424,0.975097410312431,-4.3551944692100655e-13,0.0,1.4858782864745623e-16,576.5926115253509,2.2296745748358283e+20,2.8409635511214764,1.9389017804167964e+18,5.057539982790344e+18,1.3959253129174276e+16,4.845411944800697e+19,56.34993296833807,158308537672416.25,0.7214733456359104,269.07263002269156,1.29793130266036,-2.855494013277158e-13,0.0,9.21177821687125e-17,304.1449953164429,40.57527514980007,21.806066891486672,21.720058157389566,21.720058157389573,18.17023665212713,21.055279569866286,15.017034642769623,15.392888720472454,83.05920279886287
8,overetched_no_rate,550.0,140.0,100.0,,346.83659618786396,3.5943006119043153,3.5097349287590064e+16,8.605448938889083e+19,3.8413639750347375e+19,1.7405011429713347e+20,5.4756243563593425e+19,1.1929387073354005e+20,0.31460044588143793,1.4453351273241195e+22,83.0413202060117,125.51144737152552,145.51144737152552,0.0,0.8894217013397745,0.8899564706247066,343.2751499110578,274.1479357681852,617.4230856792431,326.2963047801239,281.5585781369145,607.8548829170384,607.8548829170385,882.8641071142291,,,,,,13560000.0,122.08584247765968,142.0858424776597,122.08584247765968,137.0467751303376,34.197082648283036,151.14478903637584,24.67182373705619,0.14583333333333331,1.0,-1.0150610510858574e-15,False,True,True,True,False,False,False,5.951394073102354e+19,0.34193566014799054,0.14413725132418537,0.0,0.8396593109990977,589.4137817300872,,6.029000862531676e-13,6.170044346546134e+19,0.35449814965434656,0.004490664659985334,215.74635325870247,0.8379235300312522,588.7773697993799,,3.1864924943376976e-13,3.9083081837957205e+20,2.24550739284409,4.056521912738266e+19,2.1758837575063704e+19,1.5539298485804947e+17,4.35867248595463e+20,737.6690501679408,8.812255229981471e+18,0.6409455021615116,516.5567559398551,,-1.2525980474870044e-13,0.0,7.216836317885747e-17,1608.0406288104778,3.599285043784485e+20,2.067959023364895,7.863425105275025e+18,8.400282817896785e+18,4.165446367828688e+16,2.0930162023756523e+20,231.65681937253086,1747721644905476.8,0.6552464904743228,521.8001131097832,,5.26759191599476e-13,0.0,1.0579486454364848e-16,367.47595544570953,40.57527514980007,21.806066891486672,21.720058157389566,21.720058157389573,18.17023665212713,21.055279569866286,15.017034642769623,15.392888720472454,83.05920279886287
9,usable,400.0,140.0,25.0,362.5,361.1642730830264,3.6466265718653093,2.3108024678069644e+16,7.732372592559356e+19,2.791724575963282e+19,1.2649152350321911e+20,3.6090285628714303e+19,9.040123787450481e+19,0.2853178191643477,1.2986968843751057e+22,102.67066506966808,172.70154675666254,192.70154675666254,0.0,0.9149387206512698,0.9147131970185549,280.3091923183256,262.01183389269204,542.3210262110176,289.94795350725343,257.62067177275975,547.5686252800132,547.5686252800132,811.917454155424,-22.673326257013628,123.97722873253079,49.60580033407383,51.05341387034847,51.05341387034847,13560000.0,174.65551863141334,194.65551863141334,174.65551863141334,204.83345840170392,36.34509276182785,189.55901929135354,26.73705451550043,0.0,1.0,-4.0196417622999956e-14,False,True,True,True,False,False,False,2.0855843419043568e+20,1.6487937564063573,0.5933165625943357,0.0,0.7702825166678247,501.78664648288753,38.42390247803793,-7.788271744104269e-13,5.72379293125615e+19,0.45250407084475375,0.004599143395191537,215.74635325870247,0.8697334593116568,533.3108415944635,47.120232163989925,-5.223948587783371e-13,6.576712830406934e+20,5.199330870767448,1.1406832028528525e+20,7.643475517339756e+19,4.331354699111572e+17,7.901464649828979e+20,1772.5476264904753,5.2950444703006335e+19,0.5779534816147979,440.8217338792283,21.605995552890576,-3.2306064971800443e-13,1.2939727608748719e-15,7.235365902025068e-17,7232.404879589237,5.890428631125544e+20,4.656777361825069,8.903427055980709e+18,1.3629355431231414e+19,5.305616094587894e+16,2.3435833713738124e+20,257.29372216594726,1394551680685130.2,0.6005853890616784,447.9956494514286,23.585006745221683,-2.4921894346413515e-13,-1.818931299061314e-16,1.351661199767008e-16,632.8896436900359,40.57527514980007,21.806066891486672,21.720058157389566,21.720058157389573,18.17023665212713,21.055279569866286,15.017034642769623,15.392888720472454,83.05920279886287
10,usable,400.0,20.0,25.0,112.5,361.1642730830264,3.6466265718653093,2.3108024678069644e+16,7.732372592559356e+19,2.791724575963282e+19,1.2649152350321911e+20,3.6090285628714303e+19,9.040123787450481e+19,0.2853178191643477,1.2986968843751057e+22,102.67066506966808,24.671649536666074,44.671649536666074,0.0,0.928345999810318,0.9272525428172026,84.27686122079379,47.27777147876122,131.55463269955501,90.2526549684028,48.32028787352041,138.5729428419232,138.5729428419232,251.93351931351052,-25.087234470405516,123.9409060564538,16.937451288493357,23.17594919282062,23.17594919282062,13560000.0,24.821218780469273,44.82121878046927,24.821218780469273,47.332160211817744,7.645326298821794,45.310326558653976,5.579247556452941,1.0,1.0,-4.085620730620576e-15,True,True,True,True,False,False,False,5.318690681316377e+19,0.42047803157189584,0.5933165625943357,0.0,0.8182816758331912,127.96643640988368,13.747943475452162,2.0623662207942403e-13,1.4531227602782962e+19,0.11487906225125949,0.004599143395191537,215.74635325870247,0.8945902272787276,135.39380818481374,20.35005171983444,8.185670423138895e-13,1.6727817473783402e+20,1.322445726836209,2.9013187750137045e+19,1.9441119996641292e+19,1.1016766687145941e+17,2.00973133305735e+20,450.8460978018105,1.3467904057668057e+19,0.6555033061513236,112.12266207998903,-0.33541148445419555,3.5691025499034604e-13,9.084618728205546e-16,8.706623666298953e-17,7232.404879589237,1.5000512867436918e+20,1.1858907578937623,2.2673387707611482e+18,3.47083946388452e+18,1.351123449251241e+16,5.968148452294659e+19,65.52218916068169,355135283702195.94,0.6756763305141292,114.08617139747646,1.4099301310901868,-3.431784529964271e-13,-1.7856531134511556e-16,8.104952647921955e-17,632.8896436900359,40.57527514980007,21.806066891486672,21.720058157389566,21.720058157389573,18.17023665212713,21.055279569866286,15.017034642769623,15.392888720472454,83.05920279886287
11,usable,250.0,20.0,100.0,134.375,389.1409839212556,3.7463902293639264,1.2023461386173338e+16,5.967492785852787e+19,1.7490141268261642e+19,7.924687966561205e+19,1.8343965053344188e+19,6.090291461226785e+19,0.23147870466001788,1.00227507091103e+22,126.47502023299873,39.38015667492059,59.38015667492059,0.0,0.947925472361608,0.9480539511265905,62.38913210079064,52.39429471227134,114.78342681306198,61.485526770234955,54.17551652767394,115.66104329790889,115.6610432979089,230.62244991426505,-53.570878436620916,71.62600923852283,-14.579775394930616,-13.926665452718968,-13.926665452718956,13560000.0,39.04314287533012,59.04314287533012,39.04314287533012,59.76124873911719,8.409750149360676,60.8903061695178,5.734321651344341,1.0,1.0,-1.7763568394002506e-16,True,True,True,True,False,False,False,1.248480972184502e+19,0.15754323418821764,0.15680283352971638,0.0,0.9171922548377052,113.65952465955478,-15.416167695215055,-2.122669114742714e-13,1.1949629593736602e+19,0.15078990673398032,0.004501994155399812,215.74635325870247,0.9184724552240946,113.7425513639265,-15.354380380333776,2.2982871380712157e-13,1.2431557080960803e+20,1.5687125011630312,2.9270503948715095e+18,4.5985673759722916e+18,1.6909044849500646e+16,4.161216507058288e+19,60.1986640597952,8.295233179629829e+17,0.7120059673377495,100.35227884514534,-25.319234347798826,2.7808455348642584e-13,-2.0300318986476223e-16,9.17941515181822e-17,1083.3373871824542,1.1753879350893827e+20,1.4831977486672248,1.046316016051413e+18,2.7063600537138365e+18,7467629305049640.0,2.6218359301194334e+19,30.017582683686786,87037788800691.12,0.7216930410550378,100.98052877718962,-24.85169951464958,5.059939635629941e-14,-2.01740206378919e-16,1.4499786164269509e-16,444.72530128408306,40.57527514980007,21.806066891486672,21.720058157389566,21.720058157389573,18.17023665212713,21.055279569866286,15.017034642769623,15.392888720472454,83.05920279886287
12,overetched_no_rate,400.0,140.0,175.0,,368.220080141793,3.66256426981277,2.2152178140682124e+16,7.149265497440088e+19,2.721704004170975e+19,1.2331892944475282e+20,3.290796284674948e+19,9.041096659800334e+19,0.266852485623404,1.2007606612271005e+22,97.37034424751832,177.14459458066744,197.14459458066744,0.0,0.9159129508859548,0.9156337111634048,259.6626445404679,266.78749260571266,526.4501371461806,271.0933264653006,261.5438197465851,532.6371462118857,532.6371462118858,792.6512320987996,,,,,,13560000.0,179.37034945603196,199.37034945603196,179.37034945603196,212.61562978036335,36.939245552882774,193.1786404110205,27.257459200831402,0.0,1.0,-3.613617341865652e-14,False,True,True,True,False,False,False,3.173896700637315e+19,0.2573730338827851,0.08635931693611838,0.0,0.8886228942190619,524.640004858622,,-6.984333168609041e-13,5.3326351575237255e+19,0.43242632591233765,0.004398971208248228,215.74635325870247,0.8711759649991802,519.4744610159726,,-1.3580017732476538e-13,3.2757895241093015e+20,2.6563557913279348,1.2232096766868277e+19,1.1821488086112395e+19,6.115214486155613e+16,1.8752368397282453e+20,263.5075866196432,2.0102709544015245e+18,0.6986859171973331,468.40502105253233,,-2.9048957907597514e-13,0.0,1.1728931788201213e-16,705.9640506165155,3.112421870367653e+20,2.52388005992383,4.538943684895224e+18,7.188240009006289e+18,2.7782508995386464e+16,1.2016202057894576e+20,135.74770650332195,673137134767658.9,0.7069494366683992,470.8516161859463,,-2.7646884511139724e-13,-1.730637170222006e-16,1.7077625816687537e-16,299.36020311035674,40.57527514980007,21.806066891486672,21.720058157389566,21.720058157389573,18.17023665212713,21.055279569866286,15.017034642769623,15.392888720472454,83.05920279886287
