run,quantitative_status,inductive_power_W,rf_bias_power_W,cl2_flow_sccm,observed_feature_depth_nm,reactor_reduced_field_Td,reactor_mean_electron_energy_eV,reactor_electron_density_m3,reactor_atomic_chlorine_density_m3,reactor_total_axial_ion_flux_m2_s,wafer_total_positive_ion_flux_m2_s,wafer_clplus_flux_m2_s,wafer_cl2plus_flux_m2_s,wafer_clplus_fraction,wafer_atomic_chlorine_flux_m2_s,wafer_neutral_to_total_ion_ratio,mean_sheath_energy_gain_eV,mean_impact_energy_eV,ion_power_closure_relative_residual,surface_chlorination_fraction,rf_sheath_surface_chlorination_fraction,clplus_only_surface_plane_depth_nm_75s,cl2plus_surface_plane_depth_nm_75s,species_resolved_surface_plane_depth_nm_75s,rf_sheath_clplus_surface_plane_depth_nm_75s,rf_sheath_cl2plus_surface_plane_depth_nm_75s,rf_sheath_species_resolved_surface_plane_depth_nm_75s,joined_species_resolved_surface_plane_depth_nm_75s,all_positive_ions_as_clplus_sensitivity_depth_nm_75s,clplus_only_signed_error_percent,all_ions_as_clplus_signed_error_percent,species_resolved_signed_error_percent,rf_sheath_species_resolved_signed_error_percent,joined_species_resolved_signed_error_percent,rf_sheath_frequency_hz,rf_sheath_bias_dc_component_v,rf_sheath_dc_v,rf_sheath_amplitude_v,rf_sheath_clplus_mean_energy_eV,rf_sheath_clplus_standard_deviation_eV,rf_sheath_cl2plus_mean_energy_eV,rf_sheath_cl2plus_standard_deviation_eV,rf_sheath_clplus_probability_inside_35_100eV,rf_sheath_cl2plus_probability_inside_26_625eV,rf_sheath_power_closure_relative_residual,surface_energy_inside_measured_35_100eV,surface_neutral_ion_ratio_inside_measured_domain,surface_cl2plus_energy_inside_measured_26_625eV,surface_high_chlorination_scope,excluded_cl2plus_surface_kinetics,feature_transport_applied,formal_feature_depth_pass,sicl2_reflective_wall_flux_m2_s,sicl2_reflective_wall_to_total_ion_ratio,sicl2_reflective_wall_residence_time_s,sicl2_reflective_wall_wall_loss_frequency_s_inv,sicl2_reflective_wall_surface_chlorination_fraction,sicl2_reflective_wall_surface_plane_depth_nm_75s,sicl2_reflective_wall_signed_error_percent,sicl2_reflective_wall_fixed_point_relative_residual,sicl2_reactive_wall_flux_m2_s,sicl2_reactive_wall_to_total_ion_ratio,sicl2_reactive_wall_residence_time_s,sicl2_reactive_wall_wall_loss_frequency_s_inv,sicl2_reactive_wall_surface_chlorination_fraction,sicl2_reactive_wall_surface_plane_depth_nm_75s,sicl2_reactive_wall_signed_error_percent,sicl2_reactive_wall_fixed_point_relative_residual,table4_product_reflective_wall_sicl2_flux_m2_s,table4_product_reflective_wall_sicl2_to_total_ion_ratio,table4_product_reflective_wall_total_product_ion_flux_m2_s,table4_product_reflective_wall_elemental_si_density_m3,table4_product_reflective_wall_surface_chlorination_fraction,table4_product_reflective_wall_surface_plane_depth_nm_75s,table4_product_reflective_wall_signed_error_percent,table4_product_reflective_wall_fixed_point_relative_residual,table4_product_reflective_wall_silicon_inventory_relative_residual,table4_product_reflective_wall_linear_balance_maximum_relative_residual,table4_product_reflective_wall_matrix_condition_number,table4_product_reactive_wall_sicl2_flux_m2_s,table4_product_reactive_wall_sicl2_to_total_ion_ratio,table4_product_reactive_wall_total_product_ion_flux_m2_s,table4_product_reactive_wall_elemental_si_density_m3,table4_product_reactive_wall_surface_chlorination_fraction,table4_product_reactive_wall_surface_plane_depth_nm_75s,table4_product_reactive_wall_signed_error_percent,table4_product_reactive_wall_fixed_point_relative_residual,table4_product_reactive_wall_silicon_inventory_relative_residual,table4_product_reactive_wall_linear_balance_maximum_relative_residual,table4_product_reactive_wall_matrix_condition_number,board_clplus_only_mape_percent,board_species_resolved_mape_percent,board_rf_sheath_species_resolved_mape_percent,board_joined_species_resolved_mape_percent,board_sicl2_reflective_wall_mape_percent,board_sicl2_reactive_wall_mape_percent,board_table4_product_reflective_wall_mape_percent,board_table4_product_reactive_wall_mape_percent,board_all_ions_as_clplus_mape_percent
1,usable,400.0,80.0,100.0,393.75,364.81089652957826,3.65487106996815,2.2607116527145628e+16,7.432323013047498e+19,2.7550580136425517e+19,1.2483018148921528e+20,3.441837199476496e+19,9.04118094944503e+19,0.2757215569516619,1.2483018148921525e+22,99.99999999999999,100.0,120.0,0.0,0.9179798663043532,0.9183696523428199,194.9700834397196,174.70543000174797,369.67551344146756,186.61068310274584,179.3048222979708,365.9155054007166,356.9240924656769,583.7889529505125,-50.48378833276963,48.26386106679681,-6.114155316452685,-7.069077993468797,-9.352611437288406,13560000.0,97.24927919340081,117.24927919340081,97.24927919340081,113.93122753470152,23.692987763031823,123.99236202226831,16.784508863713963,0.40625,1.0,2.8421709430403926e-15,False,True,True,True,False,False,False,3.744905444676479e+19,0.3000000000000017,0.14976976452349836,0.0,0.8741955641722755,343.0823315127946,-12.867979298337872,-1.572816213123063e-13,3.744905444676479e+19,0.3000000000000017,0.004495932495944861,215.74635325870247,0.8741955641722755,343.0823315127946,-12.867979298337872,-1.572816213123063e-13,2.6670202249974438e+20,2.136518743448163,1.4675240059708699e+19,3.7475864507180104e+18,0.6773328894962793,281.3962572493043,-28.534283873192557,1.0062537864715938e-13,-2.895821417797193e-16,5.300747555819145e-17,1361.8662022918138,2.4928155423822787e+20,1.9969654074384615,3.7137475569665004e+18,563308904344050.5,0.689001636298275,285.05260898268614,-27.605686607571776,1.8849895309580064e-13,1.4293384500823828e-16,7.208097715190684e-17,407.7860638115008,40.57527514980007,21.806066891486672,21.720058157389566,21.025351574698547,15.90583820757069,19.914206444795713,18.28352400756371,17.911371328449043,83.05920279886287
2,usable,550.0,80.0,175.0,459.375,350.4050482994854,3.602300303083126,3.4328193113869948e+16,8.316845648567085e+19,3.785720337043396e+19,1.7152893129670882e+20,5.227689454948586e+19,1.1925203674722296e+20,0.3047701291804697,1.3968625285874458e+22,81.43597223089839,72.7750010132608,92.7750010132608,0.0,0.8942778871878047,0.8940475478089989,239.52671548526425,178.39074753075394,417.9174630160182,243.78222979902372,177.33332729510403,421.1155570941278,409.57343397099226,636.6582916017543,-47.85812996239146,38.592281165007726,-9.024769955696721,-8.328586210802113,-10.84115723080441,13560000.0,72.94153752013325,92.94153752013325,72.94153752013325,96.28926822363147,21.64642356018235,92.96159123537264,16.20417039419972,0.5416666666666666,1.0,-3.552713678800501e-16,True,True,True,True,False,False,False,2.4189768708352827e+19,0.1410244238420027,0.08315595330853456,0.0,0.8666943139611827,399.13518350149144,-13.113429441852208,-3.725211310883016e-13,4.1778738701508755e+19,0.24356671720434359,0.004390356222298728,215.74635325870247,0.8478708220894001,391.95196253531793,-14.677123801835556,2.643166439010092e-13,1.987594758617221e+20,1.1587519047612451,1.3434532446339836e+19,2.0535746613942925e+18,0.7111817108707471,339.7901162508183,-26.03208353723683,5.521247805883059e-13,-1.19908330121792e-16,1.2626547186856537e-16,821.6629983867025,1.8720393328160876e+20,1.0913840124018817,4.0006252047004856e+18,868289020985207.6,0.7196619059363167,343.02623818861656,-25.327621618804564,-4.752310405047461e-13,1.1877711059852477e-16,1.8601999254170739e-16,284.4136096422406,40.57527514980007,21.806066891486672,21.720058157389566,21.025351574698547,15.90583820757069,19.914206444795713,18.28352400756371,17.911371328449043,83.05920279886287
3,usable,250.0,80.0,25.0,250.0,385.58510229669764,3.73831747483725,1.2268469504919362e+16,6.26687605846311e+19,1.7675149967132973e+19,8.008514402675548e+19,1.923112481352557e+19,6.085401921322991e+19,0.2401334860195879,1.0525582302801463e+22,131.42989790072667,155.8718324181461,175.8718324181461,0.0,0.9426022965709366,0.9426539193301176,144.98143256596344,163.9231560224944,308.90458858845784,143.46340580189678,165.29508846391698,308.75849426581374,302.9354778033906,511.87833604775284,-42.00742697361463,104.75133441910111,23.561835435383127,23.5033977063255,21.174191121356234,13560000.0,150.90329476467065,170.90329476467065,150.90329476467065,173.8685423098908,23.509440036973256,178.14481435691062,17.777665528634408,0.0,1.0,-1.5987211554602255e-15,False,True,True,True,False,False,False,1.226832765935505e+20,1.531910544514517,0.6214616351394623,0.0,0.8162586419105518,270.8648722695454,8.345948907818169,2.2289016693443553e-13,3.277248145435536e+19,0.4092204846807352,0.004600758526989067,215.74635325870247,0.9050652677428516,293.39801056398767,17.35920422559507,-1.8235006123424931e-13,4.870240856402232e+20,6.081328710322532,3.2076390006564065e+19,2.1595555343619318e+19,0.5873777056139631,212.79031147864694,-14.883875408541225,-4.830854303452313e-13,-1.9147331073677072e-16,1.3938899468905148e-16,5717.199210920067,4.425286088352049e+20,5.52572657779527,3.999903783033761e+18,342846797826398.9,0.6079013621375506,217.99783272404295,-12.800866910382824,-7.689060214561449e-13,-1.8689940593630312e-16,1.2777989096228445e-16,816.576883133918,40.57527514980007,21.806066891486672,21.720058157389566,21.025351574698547,15.90583820757069,19.914206444795713,18.28352400756371,17.911371328449043,83.05920279886287
4,usable,400.0,20.0,175.0,175.0,368.220080141793,3.66256426981277,2.2152178140682124e+16,7.149265497440088e+19,2.721704004170975e+19,1.2331892944475282e+20,3.290796284674948e+19,9.041096659800334e+19,0.266852485623404,1.2007606612271005e+22,97.37034424751832,25.306370654381062,45.30637065438106,0.0,0.9289476568954366,0.927986708509053,78.41305797083851,48.69454336081619,127.1076013316547,83.38905006586877,50.01854722844781,133.4075972943166,131.19486913596577,247.49521536907127,-55.192538302378004,41.42583735375502,-27.36708495334017,-23.767087260390518,-25.031503350876704,13560000.0,25.485635186524455,45.485635186524455,25.485635186524455,47.76643291980061,7.607984335361199,46.07617620540779,5.6231183571076295,1.0,1.0,-5.861977570020826e-15,True,True,True,True,False,False,False,8.106800512255817e+18,0.06573849245007989,0.08635931693611838,0.0,0.9081415116055485,128.80179954293763,-26.398971689749928,4.912339947158594e-13,1.3589584586225662e+19,0.11019869088560187,0.004398971208248228,215.74635325870247,0.8952109410923905,127.2425428993273,-27.289975486098683,2.572511306595394e-13,7.820228452915328e+19,0.6341466381622142,2.9201446085302636e+18,4.799080649100796e+17,0.767326956779046,111.82141728472038,-36.10204726587407,1.2319067221634156e-13,1.821818504043078e-16,8.345924261223376e-17,705.9640506165155,7.442782186994133e+19,0.6035393122941857,1.085404569584173e+18,160968316144790.38,0.773746001657833,112.59546962546563,-35.659731642591076,1.6928207333564861e-13,0.0,1.0450877071322736e-16,299.36020311035674,40.57527514980007,21.806066891486672,21.720058157389566,21.025351574698547,15.90583820757069,19.914206444795713,18.28352400756371,17.911371328449043,83.05920279886287
5,usable,550.0,20.0,100.0,162.5,346.83659618786396,3.5943006119043153,3.5097349287590064e+16,8.605448938889083e+19,3.8413639750347375e+19,1.7405011429713347e+20,5.4756243563593425e+19,1.1929387073354005e+20,0.31460044588143793,1.4453351273241195e+22,83.0413202060117,17.93020676736079,37.93020676736079,0.0,0.9106768878726305,0.9086969325378637,97.9663082502314,41.72285453890617,139.68916278913758,106.43074559493581,43.29684480005532,149.72759039499113,147.29915840755987,263.1226022357588,-39.71304107678068,61.921601375851566,-14.037438283607639,-7.859944372313155,-9.354364056886233,13560000.0,17.07785993382049,37.07785993382049,17.07785993382049,40.34038234206964,7.191036633982198,38.57196074993789,4.74973237371032,0.6979166666666666,1.0,1.77635683940025e-16,True,True,True,True,False,False,False,1.4956692755627856e+19,0.08593325443092907,0.14413725132418537,0.0,0.8744517795494138,142.37737433303596,-12.383154256593254,3.0617249914937947e-13,1.5504107006270818e+19,0.08907840749706514,0.004490664659985334,215.74635325870247,0.8732491015252652,142.20452296490123,-12.489524329291546,-7.697119218264733e-13,9.232570796692026e+19,0.5304547390833907,9.582695116769264e+18,2.0817132749830262e+18,0.732848535171439,122.02586376114576,-24.907160762371838,7.332593433700614e-13,0.0,7.676219136002183e-17,1608.0406288104778,8.525514527515912e+19,0.4898310214816287,1.862585045516882e+18,413977389743734.6,0.7437814840000351,123.59716973400323,-23.9402032406134,9.954721175606091e-14,1.6482442728749672e-16,1.149300286951987e-16,367.47595544570953,40.57527514980007,21.806066891486672,21.720058157389566,21.025351574698547,15.90583820757069,19.914206444795713,18.28352400756371,17.911371328449043,83.05920279886287
6,usable,550.0,80.0,25.0,296.875,343.0135871096685,3.585721556941111,3.5947227760395332e+16,8.911455296618435e+19,3.9027955037876494e+19,1.7683354348280322e+20,5.7516109953254605e+19,1.193174335295486e+20,0.32525565467078904,1.4967306723040007e+22,84.64065373714323,70.59191318040561,90.59191318040561,0.0,0.8920102246563377,0.8916145365697367,258.2322442047412,173.99986843142113,432.23211263616236,265.9139494510902,171.18148493544103,437.0954343865312,425.6978673394443,651.8750921919161,-13.016507215245065,119.57897842254015,45.59397478270733,47.232146319673674,43.39296584065493,13560000.0,70.90724418184335,90.90724418184335,70.90724418184335,95.56749137437258,21.68286177942835,89.96486913506862,16.303583667153646,0.5416666666666666,1.0,7.815970093361041e-15,True,True,True,True,False,False,False,1.5356405111310847e+20,0.8684101901065073,0.5706721089871791,0.0,0.7516072626283331,369.21943746841606,24.368652620940146,1.4040619431248835e-13,4.5412981316571775e+19,0.2568120302412427,0.004597729200946547,215.74635325870247,0.8448441794392403,406.83087378350075,37.03776801128447,3.667307346307744e-13,3.4495246795862324e+20,1.950718518470277,1.2066512001835144e+20,4.100391891747573e+19,0.6301958910327182,320.2425276038746,7.8711671928840765,1.120915012692067e-13,-8.905927022080673e-16,1.1249844150192092e-16,8378.341236456185,3.1012391991318866e+20,1.7537618361606133,6.897040958396644e+18,1580870518983498.0,0.6491430240015298,327.88573277822815,10.445720514771594,5.82614691735412e-13,-1.2426178195158915e-16,6.426114004369366e-17,515.3338956228314,40.57527514980007,21.806066891486672,21.720058157389566,21.025351574698547,15.90583820757069,19.914206444795713,18.28352400756371,17.911371328449043,83.05920279886287
7,usable,250.0,80.0,175.0,265.625,392.46243076537485,3.7539079099122072,1.1800778004300218e+16,5.685652699141552e+19,1.7321558546629546e+19,7.848304051474576e+19,1.7539970307729897e+19,6.094307020701587e+19,0.22348739540021267,9.549383914995765e+21,121.67448983072441,159.0537021380582,179.0537021380582,0.0,0.9422594500545707,0.9423282693620353,133.74697732005748,166.56485893379653,300.31183625385404,131.87689522680594,168.10392526784588,299.9808204946518,294.02522536748563,499.50405490204014,-49.64819677362542,88.04858537488569,13.058573648509753,12.933955950927745,10.691849550112241,13560000.0,156.03155239312147,176.03155239312147,156.03155239312147,176.03561933968268,23.83877650336391,181.53377276274261,17.403828753457482,0.0,1.0,1.0444978215672382e-13,False,True,True,True,False,False,False,1.897936634435272e+19,0.2418276129450768,0.0903748733826518,0.0,0.9181636556167653,288.1480268406559,8.479257163541053,-1.3617820284969823e-13,3.0479017536109535e+19,0.38835164050993914,0.004408949934793159,215.74635325870247,0.904136683046284,284.7364555490084,7.19490091256787,1.8572357174221932e-13,2.093310579448465e+20,2.6672139174515848,3.5658364236899697e+18,5.678110575787257e+17,0.731856741338485,242.83537530494368,-8.579623414609438,-5.884215806736787e-13,0.0,1.6411735580250674e-16,576.5926115253509,2.0232568500867632e+20,2.5779542138235896,1.7594030775376937e+18,143652727123427.12,0.7373135578487048,244.16255538293362,-8.079979149954397,6.243430733699629e-13,0.0,1.9768879699221266e-16,304.1449953164429,40.57527514980007,21.806066891486672,21.720058157389566,21.025351574698547,15.90583820757069,19.914206444795713,18.28352400756371,17.911371328449043,83.05920279886287
8,overetched_no_rate,550.0,140.0,100.0,,346.83659618786396,3.5943006119043153,3.5097349287590064e+16,8.605448938889083e+19,3.8413639750347375e+19,1.7405011429713347e+20,5.4756243563593425e+19,1.1929387073354005e+20,0.31460044588143793,1.4453351273241195e+22,83.0413202060117,125.51144737152552,145.51144737152552,0.0,0.8894217013397745,0.8899564706247066,343.2751499110578,274.1479357681852,617.4230856792431,326.2963047801239,281.5585781369145,607.8548829170384,588.8214291468075,882.8641071142291,,,,,,13560000.0,122.08584247765968,142.0858424776597,122.08584247765968,137.0467751303376,34.197082648283036,151.14478903637584,24.67182373705619,0.14583333333333331,1.0,-1.0150610510858574e-15,False,True,True,True,False,False,False,5.902636620542163e+19,0.3391343145265247,0.14413725132418537,0.0,0.8400473981556409,561.8901968542438,,7.444450814924787e-13,6.1161291085300744e+19,0.35140046493096755,0.004490664659985334,215.74635325870247,0.838350848872701,560.9747287725047,,5.66838001369989e-13,3.5135131164138996e+20,2.0186790055281025,3.6467551373045092e+19,7.922091319230829e+18,0.6593357742041612,464.37712995402745,,-1.6041198120679097e-13,0.0,6.180226704079169e-17,1608.0406288104778,3.251036338107148e+20,1.8678737162775256,7.10259966861459e+18,1578620894806885.2,0.6721900254759455,471.3133603791065,,4.797721827090182e-13,1.728941670516302e-16,1.315166816041495e-16,367.47595544570953,40.57527514980007,21.806066891486672,21.720058157389566,21.025351574698547,15.90583820757069,19.914206444795713,18.28352400756371,17.911371328449043,83.05920279886287
9,usable,400.0,140.0,25.0,362.5,361.1642730830264,3.6466265718653093,2.3108024678069644e+16,7.732372592559356e+19,2.791724575963282e+19,1.2649152350321911e+20,3.6090285628714303e+19,9.040123787450481e+19,0.2853178191643477,1.2986968843751057e+22,102.67066506966808,172.70154675666254,192.70154675666254,0.0,0.9149387206512698,0.9147131970185549,280.3091923183256,262.01183389269204,542.3210262110176,289.94795350725343,257.62067177275975,547.5686252800132,534.0713262189665,811.917454155424,-22.673326257013628,123.97722873253079,49.60580033407383,51.05341387034847,47.33002102592181,13560000.0,174.65551863141334,194.65551863141334,174.65551863141334,204.83345840170392,36.34509276182785,189.55901929135354,26.73705451550043,0.0,1.0,-4.0196417622999956e-14,False,True,True,True,False,False,False,2.0204136194708236e+20,1.597271946384143,0.5933165625943357,0.0,0.774076445601382,467.2350976447763,28.89244072959347,1.127183057000219e-13,5.724743433590302e+19,0.4525792144044033,0.004599143395191537,215.74635325870247,0.8697263706876187,512.691780849898,41.43221540686841,9.965352799089787e-13,5.770186643880885e+20,4.561718037757714,1.0007970777695555e+20,4.6456939308681314e+19,0.6047453460465935,386.762163219608,6.693010543340128,6.96453644920079e-13,8.427642475128157e-16,7.271809012970431e-17,7232.404879589237,5.211298220060975e+20,4.119879400399784,7.876916345968728e+18,1233768397249692.0,0.624908471821534,396.3444898126518,9.33641098280049,3.855725915406334e-13,-2.0559723411714058e-16,9.331912421906852e-17,632.8896436900359,40.57527514980007,21.806066891486672,21.720058157389566,21.025351574698547,15.90583820757069,19.914206444795713,18.28352400756371,17.911371328449043,83.05920279886287
10,usable,400.0,20.0,25.0,112.5,361.1642730830264,3.6466265718653093,2.3108024678069644e+16,7.732372592559356e+19,2.791724575963282e+19,1.2649152350321911e+20,3.6090285628714303e+19,9.040123787450481e+19,0.2853178191643477,1.2986968843751057e+22,102.67066506966808,24.671649536666074,44.671649536666074,0.0,0.928345999810318,0.9272525428172026,84.27686122079379,47.27777147876122,131.55463269955501,90.2526549684028,48.32028787352041,138.5729428419232,136.41354999747207,251.93351931351052,-25.087234470405516,123.9409060564538,16.937451288493357,23.17594919282062,21.256488886641844,13560000.0,24.821218780469273,44.82121878046927,24.821218780469273,47.332160211817744,7.645326298821794,45.310326558653976,5.579247556452941,1.0,1.0,-4.085620730620576e-15,True,True,True,True,False,False,False,5.301922716076121e+19,0.41915241189589997,0.5933165625943357,0.0,0.8185835097301974,122.61075425732437,8.987337117621674,2.489155860379486e-13,1.4761692110225132e+19,0.11670103815177353,0.004599143395191537,215.74635325870247,0.8940913983311429,132.20152665606497,17.512468138724422,-7.776235891039007e-13,1.5476654432866828e+20,1.2235329296569788,2.6843136082067608e+19,1.2460567396924746e+19,0.6699862966716763,103.73640780243494,-7.789859731168947,3.29444636895956e-13,7.855229671943368e-16,8.605762134137834e-17,7232.404879589237,1.3950404476728954e+20,1.1028726740234043,2.108614099891905e+18,330274097651571.8,0.6885915503034865,106.09958807816177,-5.689255041633978,5.536339546916823e-13,0.0,1.0218857416991267e-16,632.8896436900359,40.57527514980007,21.806066891486672,21.720058157389566,21.025351574698547,15.90583820757069,19.914206444795713,18.28352400756371,17.911371328449043,83.05920279886287
