step=1 t=1.000s dt=1s depth=6.993nm mask_opening=85.872nm wall=282.58s
step=2 t=1.500s dt=0.5s depth=10.450nm mask_opening=84.704nm wall=111.48s
step=3 t=1.955s dt=0.4555s depth=13.595nm mask_opening=83.702nm wall=105.04s
step=4 t=2.411s dt=0.4553s depth=16.734nm mask_opening=82.751nm wall=103.08s
step=5 t=2.867s dt=0.4563s depth=19.879nm mask_opening=81.792nm wall=105.84s
step=6 t=3.324s dt=0.4569s depth=23.049nm mask_opening=80.779nm wall=96.32s
step=7 t=3.778s dt=0.4537s depth=26.184nm mask_opening=79.790nm wall=161.76s
step=8 t=4.233s dt=0.4551s depth=29.334nm mask_opening=78.832nm wall=222.54s
step=9 t=4.688s dt=0.4548s depth=32.457nm mask_opening=77.928nm wall=184.56s
step=10 t=5.146s dt=0.4583s depth=35.587nm mask_opening=77.058nm wall=187.17s
step=11 t=5.605s dt=0.4595s depth=38.727nm mask_opening=76.227nm wall=166.84s
step=12 t=6.065s dt=0.4601s depth=41.866nm mask_opening=75.395nm wall=91.59s
step=13 t=6.527s dt=0.4611s depth=44.989nm mask_opening=74.454nm wall=56.88s
step=14 t=6.989s dt=0.4622s depth=48.110nm mask_opening=73.325nm wall=47.41s
step=15 t=7.453s dt=0.4645s depth=51.228nm mask_opening=72.130nm wall=38.74s
step=16 t=7.921s dt=0.468s depth=54.331nm mask_opening=70.886nm wall=38.69s
step=17 t=8.391s dt=0.4693s depth=57.457nm mask_opening=69.681nm wall=36.53s
step=18 t=8.859s dt=0.4689s depth=60.590nm mask_opening=68.538nm wall=36.84s
step=19 t=9.329s dt=0.4698s depth=63.695nm mask_opening=69.076nm wall=35.75s
step=20 t=9.799s dt=0.4701s depth=66.801nm mask_opening=68.224nm wall=37.11s
step=21 t=10.269s dt=0.4702s depth=69.935nm mask_opening=67.372nm wall=36.64s
step=22 t=10.740s dt=0.4706s depth=73.035nm mask_opening=66.529nm wall=36.22s
step=23 t=11.212s dt=0.4716s depth=76.113nm mask_opening=65.729nm wall=37.89s
step=24 t=11.684s dt=0.4722s depth=79.228nm mask_opening=65.285nm wall=39.27s
step=25 t=12.157s dt=0.473s depth=82.328nm mask_opening=64.966nm wall=37.16s
step=26 t=12.630s dt=0.4734s depth=85.374nm mask_opening=64.640nm wall=37.72s
step=27 t=13.104s dt=0.4736s depth=88.461nm mask_opening=63.986nm wall=37.96s
step=28 t=13.579s dt=0.4748s depth=91.582nm mask_opening=63.225nm wall=39.10s
step=29 t=14.051s dt=0.4724s depth=94.589nm mask_opening=62.506nm wall=38.43s
step=30 t=14.529s dt=0.4777s depth=97.648nm mask_opening=61.849nm wall=38.09s
step=31 t=15.007s dt=0.4781s depth=100.751nm mask_opening=61.286nm wall=39.72s
step=32 t=15.486s dt=0.4795s depth=103.760nm mask_opening=60.830nm wall=43.43s
step=33 t=15.966s dt=0.4795s depth=106.777nm mask_opening=60.527nm wall=41.40s
step=34 t=16.447s dt=0.4807s depth=109.887nm mask_opening=60.290nm wall=40.67s
step=35 t=16.928s dt=0.4811s depth=112.916nm mask_opening=59.986nm wall=38.10s
step=36 t=17.410s dt=0.482s depth=115.904nm mask_opening=59.642nm wall=38.11s
step=37 t=17.892s dt=0.4823s depth=118.970nm mask_opening=59.120nm wall=35.91s
step=38 t=18.375s dt=0.4829s depth=122.029nm mask_opening=58.398nm wall=37.09s
step=39 t=18.856s dt=0.4815s depth=124.971nm mask_opening=57.703nm wall=37.48s
step=40 t=19.339s dt=0.483s depth=127.970nm mask_opening=57.058nm wall=37.83s
step=41 t=19.825s dt=0.4853s depth=131.027nm mask_opening=56.478nm wall=38.18s
step=42 t=20.313s dt=0.488s depth=133.923nm mask_opening=55.972nm wall=39.89s
step=43 t=20.803s dt=0.4898s depth=136.880nm mask_opening=55.544nm wall=40.57s
step=44 t=21.293s dt=0.4905s depth=139.976nm mask_opening=55.199nm wall=39.59s
step=45 t=21.784s dt=0.4911s depth=142.934nm mask_opening=54.915nm wall=36.67s
step=46 t=22.275s dt=0.4911s depth=145.820nm mask_opening=54.532nm wall=38.36s
step=47 t=22.767s dt=0.4914s depth=148.835nm mask_opening=53.992nm wall=36.97s
step=48 t=23.259s dt=0.4929s depth=151.831nm mask_opening=53.458nm wall=34.74s
step=49 t=23.754s dt=0.4942s depth=154.654nm mask_opening=52.943nm wall=32.34s
step=50 t=24.249s dt=0.4957s depth=157.588nm mask_opening=52.467nm wall=32.27s
step=51 t=24.745s dt=0.4961s depth=160.634nm mask_opening=51.995nm wall=31.14s
step=52 t=25.242s dt=0.4964s depth=163.387nm mask_opening=51.420nm wall=29.51s
step=53 t=25.742s dt=0.4999s depth=166.256nm mask_opening=50.419nm wall=27.72s
step=54 t=26.136s dt=0.3938s depth=168.583nm mask_opening=49.540nm wall=22.37s
step=55 t=26.454s dt=0.3182s depth=170.499nm mask_opening=50.015nm wall=19.04s
step=56 t=26.771s dt=0.3178s depth=172.214nm mask_opening=51.365nm wall=20.89s
step=57 t=27.248s dt=0.4767s depth=174.832nm mask_opening=52.864nm wall=30.65s
step=58 t=27.745s dt=0.4971s depth=177.753nm mask_opening=52.217nm wall=33.40s
step=59 t=28.238s dt=0.4927s depth=180.749nm mask_opening=51.668nm wall=33.10s
step=60 t=28.733s dt=0.4951s depth=183.438nm mask_opening=51.263nm wall=33.58s
step=61 t=29.229s dt=0.4962s depth=186.235nm mask_opening=51.045nm wall=34.50s
step=62 t=29.726s dt=0.4972s depth=189.214nm mask_opening=51.045nm wall=34.42s
step=63 t=30.225s dt=0.4984s depth=192.102nm mask_opening=50.748nm wall=34.92s
step=64 t=30.722s dt=0.4972s depth=194.773nm mask_opening=50.498nm wall=33.97s
step=65 t=31.224s dt=0.5022s depth=197.611nm mask_opening=50.017nm wall=34.03s
step=66 t=31.727s dt=0.5032s depth=200.612nm mask_opening=49.424nm wall=31.85s
step=67 t=32.231s dt=0.5039s depth=203.242nm mask_opening=52.321nm wall=33.20s
step=68 t=32.736s dt=0.5045s depth=206.012nm mask_opening=51.957nm wall=34.96s
step=69 t=33.236s dt=0.5008s depth=208.953nm mask_opening=51.596nm wall=32.12s
step=70 t=33.739s dt=0.5026s depth=211.815nm mask_opening=51.232nm wall=31.13s
step=71 t=34.239s dt=0.5001s depth=214.455nm mask_opening=50.772nm wall=33.79s
step=72 t=34.740s dt=0.5005s depth=217.263nm mask_opening=50.373nm wall=33.90s
step=73 t=35.240s dt=0.5005s depth=220.278nm mask_opening=49.990nm wall=32.51s
step=74 t=35.743s dt=0.5026s depth=222.856nm mask_opening=49.518nm wall=39.75s
step=75 t=36.255s dt=0.5121s depth=225.586nm mask_opening=52.135nm wall=37.51s
step=76 t=36.760s dt=0.5054s depth=228.518nm mask_opening=51.718nm wall=33.93s
step=77 t=37.260s dt=0.4994s depth=231.399nm mask_opening=51.270nm wall=33.38s
step=78 t=37.759s dt=0.4994s depth=233.953nm mask_opening=51.919nm wall=33.38s
step=79 t=38.261s dt=0.5015s depth=236.735nm mask_opening=51.506nm wall=40.03s
step=80 t=38.758s dt=0.4973s depth=239.749nm mask_opening=51.167nm wall=39.28s
step=81 t=39.257s dt=0.4987s depth=242.488nm mask_opening=50.921nm wall=41.00s
step=82 t=39.756s dt=0.4996s depth=245.086nm mask_opening=50.769nm wall=43.49s
step=83 t=40.258s dt=0.5021s depth=247.927nm mask_opening=50.358nm wall=39.58s
step=84 t=40.759s dt=0.5006s depth=250.885nm mask_opening=49.951nm wall=38.09s
step=85 t=41.258s dt=0.499s depth=253.344nm mask_opening=49.527nm wall=41.92s
step=86 t=41.760s dt=0.5019s depth=255.970nm mask_opening=50.164nm wall=43.03s
step=87 t=42.269s dt=0.5092s depth=258.883nm mask_opening=49.469nm wall=43.96s
step=88 t=42.779s dt=0.5099s depth=261.705nm mask_opening=48.763nm wall=43.04s
step=89 t=43.193s dt=0.4138s depth=263.716nm mask_opening=48.185nm wall=35.62s
step=90 t=43.530s dt=0.3372s depth=265.441nm mask_opening=47.727nm wall=29.06s
step=91 t=44.036s dt=0.5057s depth=268.222nm mask_opening=47.343nm wall=40.50s
step=92 t=44.543s dt=0.5072s depth=271.041nm mask_opening=47.022nm wall=41.02s
step=93 t=45.053s dt=0.51s depth=273.416nm mask_opening=47.438nm wall=45.27s
step=94 t=45.562s dt=0.5092s depth=275.995nm mask_opening=47.420nm wall=46.51s
step=95 t=46.072s dt=0.5101s depth=278.876nm mask_opening=47.244nm wall=44.85s
step=96 t=46.586s dt=0.514s depth=281.621nm mask_opening=46.996nm wall=46.61s
