step=1 t=1.000s dt=1s depth=6.717nm mask_opening=85.933nm wall=521.85s
step=2 t=1.500s dt=0.5s depth=10.027nm mask_opening=85.421nm wall=178.01s
step=3 t=1.976s dt=0.4757s depth=13.181nm mask_opening=84.964nm wall=157.57s
step=4 t=2.451s dt=0.4749s depth=16.331nm mask_opening=84.494nm wall=142.81s
step=5 t=2.926s dt=0.4749s depth=19.475nm mask_opening=84.032nm wall=148.06s
step=6 t=3.401s dt=0.4757s depth=22.639nm mask_opening=83.580nm wall=151.82s
step=7 t=3.875s dt=0.4736s depth=25.789nm mask_opening=83.140nm wall=137.66s
step=8 t=4.348s dt=0.4735s depth=28.937nm mask_opening=82.712nm wall=137.50s
step=9 t=4.822s dt=0.4737s depth=32.093nm mask_opening=82.304nm wall=117.55s
step=10 t=5.295s dt=0.4728s depth=35.258nm mask_opening=81.948nm wall=113.49s
step=11 t=5.765s dt=0.4698s depth=38.380nm mask_opening=81.544nm wall=104.38s
step=12 t=6.238s dt=0.4732s depth=41.521nm mask_opening=81.118nm wall=91.69s
step=13 t=6.712s dt=0.4744s depth=44.673nm mask_opening=80.710nm wall=102.46s
step=14 t=7.186s dt=0.4733s depth=47.834nm mask_opening=80.339nm wall=93.96s
step=15 t=7.656s dt=0.4703s depth=50.948nm mask_opening=80.017nm wall=86.62s
step=16 t=8.131s dt=0.475s depth=54.083nm mask_opening=79.734nm wall=94.06s
step=17 t=8.607s dt=0.4758s depth=57.221nm mask_opening=79.492nm wall=95.07s
step=18 t=9.083s dt=0.4759s depth=60.368nm mask_opening=79.289nm wall=85.37s
step=19 t=9.559s dt=0.4759s depth=63.499nm mask_opening=79.123nm wall=92.26s
step=20 t=10.035s dt=0.4765s depth=66.632nm mask_opening=78.990nm wall=102.99s
step=21 t=10.511s dt=0.4764s depth=69.775nm mask_opening=78.702nm wall=95.01s
step=22 t=10.988s dt=0.4765s depth=72.913nm mask_opening=78.362nm wall=98.65s
step=23 t=11.464s dt=0.4757s depth=76.054nm mask_opening=78.076nm wall=97.52s
step=24 t=11.937s dt=0.473s depth=79.164nm mask_opening=77.871nm wall=93.75s
step=25 t=12.414s dt=0.4771s depth=82.294nm mask_opening=77.757nm wall=97.78s
step=26 t=12.891s dt=0.4772s depth=85.407nm mask_opening=77.635nm wall=95.39s
step=27 t=13.369s dt=0.4776s depth=88.533nm mask_opening=77.590nm wall=99.36s
step=28 t=13.846s dt=0.4776s depth=91.664nm mask_opening=77.631nm wall=104.46s
step=29 t=14.324s dt=0.4776s depth=94.764nm mask_opening=77.715nm wall=102.61s
step=30 t=14.802s dt=0.4778s depth=97.884nm mask_opening=77.560nm wall=89.91s
step=31 t=15.279s dt=0.4773s depth=101.034nm mask_opening=77.299nm wall=87.16s
step=32 t=15.754s dt=0.475s depth=104.121nm mask_opening=77.123nm wall=89.83s
step=33 t=16.231s dt=0.4769s depth=107.220nm mask_opening=77.030nm wall=93.10s
step=34 t=16.709s dt=0.4779s depth=110.356nm mask_opening=76.931nm wall=88.15s
step=35 t=17.187s dt=0.4779s depth=113.442nm mask_opening=76.751nm wall=81.01s
step=36 t=17.665s dt=0.4784s depth=116.524nm mask_opening=76.517nm wall=86.72s
step=37 t=18.144s dt=0.4793s depth=119.640nm mask_opening=76.266nm wall=75.76s
step=38 t=18.625s dt=0.481s depth=122.720nm mask_opening=76.010nm wall=62.06s
