step=1 t=1.000s dt=1s depth=7.113nm mask_opening=85.865nm wall=731.09s
step=2 t=1.500s dt=0.5s depth=10.629nm mask_opening=84.696nm wall=237.55s
step=3 t=1.948s dt=0.4479s depth=13.776nm mask_opening=83.711nm wall=218.02s
step=4 t=2.396s dt=0.4479s depth=16.921nm mask_opening=82.772nm wall=228.93s
step=5 t=2.844s dt=0.4486s depth=20.068nm mask_opening=81.821nm wall=199.70s
step=6 t=3.293s dt=0.449s depth=23.236nm mask_opening=80.823nm wall=184.11s
step=7 t=3.736s dt=0.443s depth=26.355nm mask_opening=79.854nm wall=180.85s
step=8 t=4.184s dt=0.4473s depth=29.512nm mask_opening=78.912nm wall=161.29s
step=9 t=4.630s dt=0.4462s depth=32.631nm mask_opening=78.026nm wall=138.35s
step=10 t=5.080s dt=0.4503s depth=35.771nm mask_opening=77.177nm wall=144.80s
step=11 t=5.531s dt=0.4508s depth=38.911nm mask_opening=76.365nm wall=127.73s
step=12 t=5.983s dt=0.4517s depth=42.051nm mask_opening=75.562nm wall=123.69s
step=13 t=6.435s dt=0.4525s depth=45.187nm mask_opening=74.673nm wall=97.23s
step=14 t=6.888s dt=0.4531s depth=48.316nm mask_opening=73.582nm wall=85.90s
step=15 t=7.343s dt=0.455s depth=51.438nm mask_opening=72.437nm wall=65.13s
step=16 t=7.801s dt=0.4581s depth=54.557nm mask_opening=71.239nm wall=68.14s
step=17 t=8.260s dt=0.4587s depth=57.688nm mask_opening=70.032nm wall=65.39s
step=18 t=8.719s dt=0.4586s depth=60.826nm mask_opening=68.954nm wall=68.10s
step=19 t=9.178s dt=0.459s depth=63.943nm mask_opening=69.306nm wall=70.87s
step=20 t=9.636s dt=0.4589s depth=67.059nm mask_opening=68.472nm wall=71.92s
step=21 t=10.096s dt=0.4591s depth=70.193nm mask_opening=67.643nm wall=70.46s
step=22 t=10.555s dt=0.4598s depth=73.297nm mask_opening=66.821nm wall=70.05s
step=23 t=11.016s dt=0.4604s depth=76.395nm mask_opening=66.452nm wall=71.75s
step=24 t=11.476s dt=0.4603s depth=79.514nm mask_opening=66.047nm wall=63.55s
step=25 t=11.938s dt=0.4617s depth=82.619nm mask_opening=65.656nm wall=64.35s
step=26 t=12.400s dt=0.4619s depth=85.690nm mask_opening=65.055nm wall=65.42s
step=27 t=12.861s dt=0.4617s depth=88.805nm mask_opening=64.302nm wall=63.09s
step=28 t=13.321s dt=0.4597s depth=91.887nm mask_opening=63.588nm wall=65.95s
step=29 t=13.785s dt=0.4635s depth=94.943nm mask_opening=62.931nm wall=75.13s
step=30 t=14.249s dt=0.4647s depth=98.019nm mask_opening=62.343nm wall=75.85s
step=31 t=14.714s dt=0.4647s depth=101.125nm mask_opening=61.833nm wall=76.78s
step=32 t=15.179s dt=0.4655s depth=104.149nm mask_opening=61.524nm wall=81.77s
step=33 t=15.645s dt=0.4654s depth=107.186nm mask_opening=61.239nm wall=84.83s
step=34 t=16.112s dt=0.4667s depth=110.298nm mask_opening=60.989nm wall=73.56s
step=35 t=16.579s dt=0.4672s depth=113.294nm mask_opening=60.646nm wall=66.63s
step=36 t=17.046s dt=0.467s depth=116.297nm mask_opening=60.221nm wall=61.61s
step=37 t=17.513s dt=0.4676s depth=119.386nm mask_opening=59.524nm wall=55.56s
step=38 t=17.981s dt=0.4678s depth=122.445nm mask_opening=58.841nm wall=54.20s
step=39 t=18.446s dt=0.4653s depth=125.395nm mask_opening=58.201nm wall=58.41s
step=40 t=18.916s dt=0.4691s depth=128.428nm mask_opening=57.609nm wall=55.78s
step=41 t=19.385s dt=0.4698s depth=131.484nm mask_opening=57.081nm wall=57.98s
step=42 t=19.857s dt=0.4712s depth=134.405nm mask_opening=56.617nm wall=58.32s
step=43 t=20.329s dt=0.4723s depth=137.388nm mask_opening=56.211nm wall=59.48s
step=44 t=20.802s dt=0.4735s depth=140.479nm mask_opening=55.858nm wall=55.99s
step=45 t=21.276s dt=0.4732s depth=143.385nm mask_opening=55.554nm wall=55.38s
step=46 t=21.748s dt=0.4722s depth=146.305nm mask_opening=55.044nm wall=54.92s
step=47 t=22.222s dt=0.4743s depth=149.364nm mask_opening=54.547nm wall=54.00s
step=48 t=22.696s dt=0.4743s depth=152.342nm mask_opening=54.080nm wall=49.07s
step=49 t=23.172s dt=0.4752s depth=155.197nm mask_opening=53.666nm wall=50.86s
step=50 t=23.647s dt=0.4755s depth=158.160nm mask_opening=53.329nm wall=54.65s
step=51 t=24.124s dt=0.4771s depth=161.196nm mask_opening=53.069nm wall=52.51s
step=52 t=24.601s dt=0.4763s depth=163.968nm mask_opening=52.465nm wall=50.84s
step=53 t=25.079s dt=0.4783s depth=166.882nm mask_opening=51.785nm wall=49.45s
step=54 t=25.545s dt=0.4661s depth=169.881nm mask_opening=51.283nm wall=46.43s
step=55 t=25.984s dt=0.4388s depth=172.529nm mask_opening=51.059nm wall=35.59s
step=56 t=26.459s dt=0.475s depth=175.291nm mask_opening=51.221nm wall=33.26s
step=57 t=26.936s dt=0.4773s depth=178.199nm mask_opening=50.718nm wall=38.40s
step=58 t=27.415s dt=0.4789s depth=181.160nm mask_opening=50.144nm wall=38.60s
step=59 t=27.897s dt=0.482s depth=183.854nm mask_opening=49.484nm wall=39.19s
step=60 t=28.382s dt=0.4855s depth=186.665nm mask_opening=51.105nm wall=38.80s
step=61 t=28.791s dt=0.4086s depth=189.214nm mask_opening=50.852nm wall=33.41s
step=62 t=29.271s dt=0.48s depth=192.088nm mask_opening=50.415nm wall=37.74s
step=63 t=29.746s dt=0.4746s depth=194.763nm mask_opening=49.787nm wall=40.65s
