         2069597 function calls (2068220 primitive calls) in 7.779 seconds

   Ordered by: cumulative time
   List reduced from 950 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005    7.780    7.780 krueger_2024_multiresolution_audit.py:455(_advance)
        1    0.023    0.023    7.762    7.762 feature_step_3d.py:1816(advance_feature_step_3d)
        1    0.007    0.007    2.292    2.292 material_mechanism_3d.py:277(advance_by_material)
        1    0.592    0.592    2.233    2.233 boundary_transport_3d.py:2463(gather_boundary_state_ballistic_3d)
       16    0.441    0.028    1.592    0.100 surface_kinetics.py:296(yield_rate_m2_s)
        1    0.000    0.000    1.545    1.545 amorphous_carbon_mask.py:534(advance)
        3    0.001    0.000    1.333    0.444 surface_kinetics.py:1455(advance)
       15    0.006    0.000    1.323    0.088 surface_kinetics.py:1028(_energetic_rate)
        1    0.001    0.001    1.184    1.184 feature_step_3d.py:1497(_apply_diffuse_neutral_transport)
       16    0.768    0.048    1.152    0.072 surface_kinetics.py:101(evaluate)
        1    0.004    0.004    1.064    1.064 feature_step_3d.py:1105(conservative_remap_surface_state)
        4    0.165    0.041    1.045    0.261 surface_kinetics.py:258(__post_init__)
        2    0.054    0.027    1.008    0.504 feature_step_3d.py:1016(_maximum_point_to_surface_distance)
    52079    0.939    0.000    0.940    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2944    0.235    0.000    0.917    0.000 feature_step_3d.py:953(_point_to_triangles_distance)
        1    0.000    0.000    0.786    0.786 boundary_transport_3d.py:2327(estimate_diffuse_form_factors_3d)
        1    0.000    0.000    0.780    0.780 boundary_transport_3d.py:2047(_diffuse_form_factor_ray_samples_3d)
        1    0.003    0.003    0.780    0.780 boundary_transport_3d.py:1956(_diffuse_form_factor_ray_sample_block_3d)
        1    0.265    0.265    0.773    0.773 boundary_transport_3d.py:1878(_inset_diffuse_source_positions_3d)
        2    0.328    0.164    0.670    0.335 material_mechanism_3d.py:142(_subset_fluxes)
        1    0.249    0.249    0.598    0.598 feature_step_3d.py:1461(_select_surface_fluxes)
        6    0.003    0.000    0.590    0.098 surface_kinetics.py:1101(_polymer_step)
    12261    0.193    0.000    0.588    0.000 _linalg.py:2624(norm)
        3    0.001    0.000    0.494    0.165 surface_kinetics.py:1300(_substrate_step)
     3001    0.033    0.000    0.476    0.000 _methods.py:119(_mean)
       55    0.000    0.000    0.409    0.007 {method 'mean' of 'numpy.ndarray' objects}
        5    0.063    0.013    0.393    0.079 neutral_radiosity_3d.py:108(solve_diffuse_neutral_radiosity_3d)
       16    0.319    0.020    0.375    0.023 surface_kinetics.py:54(_angular_yield_factor)
     5896    0.129    0.000    0.355    0.000 numeric.py:1528(cross)
     8832    0.172    0.000    0.312    0.000 feature_step_3d.py:998(segment_distance_squared)
    47132    0.020    0.000    0.288    0.000 einsumfunc.py:1057(einsum)
      130    0.282    0.002    0.282    0.002 {method 'repeat' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.278    0.278 amorphous_carbon_mask.py:462(_energetic_rate)
    47132    0.268    0.000    0.268    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
    13644    0.011    0.000    0.255    0.000 fromnumeric.py:51(_wrapfunc)
      220    0.234    0.001    0.234    0.001 {method 'copy' of 'numpy.ndarray' objects}
    15388    0.209    0.000    0.209    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1255    0.007    0.000    0.205    0.000 _index.py:29(__getitem__)
    33235    0.030    0.000    0.201    0.000 fromnumeric.py:2496(any)
    17706    0.067    0.000    0.199    0.000 numeric.py:1452(moveaxis)
       12    0.040    0.003    0.180    0.015 feature_step_3d.py:342(_periodic_component_roots)
    33611    0.050    0.000    0.175    0.000 fromnumeric.py:89(_wrapreduction_any_all)
      184    0.168    0.001    0.170    0.001 context.py:12526(copy)
       71    0.000    0.000    0.170    0.002 fromnumeric.py:467(repeat)
  376/254    0.003    0.000    0.144    0.001 types.py:3185(__init__)
      122    0.005    0.000    0.135    0.001 types.py:3309(_init_from_data)
    89559    0.055    0.000    0.132    0.000 feature_step_3d.py:355(union)
      350    0.001    0.000    0.130    0.000 numeric.py:2253(allclose)
      352    0.087    0.000    0.125    0.000 numeric.py:2349(isclose)
        2    0.000    0.000    0.122    0.061 feature_step_3d.py:442(_periodic_physical_volume_topology_signature)
       59    0.001    0.000    0.115    0.002 _shape_base_impl.py:1216(tile)
      835    0.001    0.000    0.110    0.000 _csr.py:274(_get_sliceXarray)
      835    0.010    0.000    0.108    0.000 _compressed.py:651(_minor_index_fancy)
    35432    0.069    0.000    0.104    0.000 numeric.py:1388(normalize_axis_tuple)
   179133    0.077    0.000    0.077    0.000 feature_step_3d.py:348(find)
     8875    0.012    0.000    0.074    0.000 fromnumeric.py:2250(clip)
        2    0.014    0.007    0.074    0.037 feature_step_3d.py:301(_surface_topology_signature)
     2946    0.006    0.000    0.073    0.000 fromnumeric.py:3783(mean)
     9833    0.017    0.000    0.067    0.000 fromnumeric.py:69(_wrapreduction)
1315/1310    0.008    0.000    0.066    0.000 _compressed.py:30(__init__)
       62    0.001    0.000    0.061    0.001 types.py:4304(numpy)
        3    0.000    0.000    0.059    0.020 feature_step_3d.py:873(_redistance_feature_field)
        3    0.000    0.000    0.059    0.020 feature_step_3d.py:851(_periodic_lateral_redistance)
       62    0.000    0.000    0.057    0.001 types.py:4411(to)
       62    0.000    0.000    0.057    0.001 context.py:8809(clone)
        5    0.035    0.007    0.055    0.011 iterative.py:587(gmres)
        3    0.035    0.012    0.055    0.018 threed.py:1603(reinit_cr2)
     8875    0.005    0.000    0.055    0.000 {method 'clip' of 'numpy.ndarray' objects}
       38    0.050    0.001    0.050    0.001 numeric.py:144(ones)
     8875    0.049    0.000    0.049    0.000 _methods.py:100(_clip)
        2    0.046    0.023    0.048    0.024 feature_step_3d.py:1078(_periodic_unique_neighbors)
      420    0.001    0.000    0.047    0.000 _csr.py:283(_get_arrayXslice)
     2615    0.008    0.000    0.046    0.000 _base.py:1525(_get_index_dtype)
      420    0.008    0.000    0.044    0.000 _compressed.py:576(_major_index_fancy)
        1    0.000    0.000    0.042    0.042 feature_step_3d.py:2467(<dictcomp>)
     1255    0.016    0.000    0.039    0.000 _index.py:298(_validate_indices)
     6010    0.007    0.000    0.039    0.000 fromnumeric.py:3080(max)
      835    0.002    0.000    0.037    0.000 _compressed.py:492(sum)
    33836    0.037    0.000    0.037    0.000 feature_step_3d.py:311(find)
    13974    0.008    0.000    0.035    0.000 feature_step_3d.py:317(union)
