         5344471 function calls (5333147 primitive calls) in 24.466 seconds

   Ordered by: cumulative time
   List reduced from 1305 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.008    0.004   24.468   12.234 krueger_2024_multiresolution_audit.py:455(_advance)
        2    0.043    0.021   24.432   12.216 feature_step_3d.py:1816(advance_feature_step_3d)
        6    0.000    0.000    9.405    1.568 feature_step_3d.py:873(_redistance_feature_field)
        6    0.001    0.000    9.405    1.568 feature_step_3d.py:851(_periodic_lateral_redistance)
        6    0.060    0.010    9.399    1.566 threed.py:1603(reinit_cr2)
      210    0.009    0.000    9.336    0.044 context.py:10109(launch)
        2    0.000    0.000    9.009    4.504 feature_step_3d.py:2467(<dictcomp>)
        6    0.010    0.002    8.795    1.466 threed.py:1563(reinit_fsm)
      210    0.002    0.000    8.199    0.039 context.py:3871(load)
        1    0.000    0.000    8.176    8.176 context.py:3620(_compile)
        1    7.634    7.634    7.634    7.634 build.py:116(build_cpu)
        2    0.010    0.005    4.713    2.357 material_mechanism_3d.py:277(advance_by_material)
        2    1.171    0.585    4.434    2.217 boundary_transport_3d.py:2463(gather_boundary_state_ballistic_3d)
       32    0.921    0.029    3.258    0.102 surface_kinetics.py:296(yield_rate_m2_s)
        2    0.000    0.000    3.166    1.583 amorphous_carbon_mask.py:534(advance)
        6    0.001    0.000    2.739    0.457 surface_kinetics.py:1455(advance)
       30    0.010    0.000    2.721    0.091 surface_kinetics.py:1028(_energetic_rate)
       32    1.537    0.048    2.337    0.073 surface_kinetics.py:101(evaluate)
        8    0.389    0.049    2.248    0.281 surface_kinetics.py:258(__post_init__)
        2    0.001    0.000    2.094    1.047 feature_step_3d.py:1497(_apply_diffuse_neutral_transport)
        2    0.008    0.004    1.943    0.972 feature_step_3d.py:1105(conservative_remap_surface_state)
        4    0.106    0.026    1.844    0.461 feature_step_3d.py:1016(_maximum_point_to_surface_distance)
   102605    1.784    0.000    1.785    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     5888    0.426    0.000    1.672    0.000 feature_step_3d.py:953(_point_to_triangles_distance)
        2    0.001    0.000    1.470    0.735 boundary_transport_3d.py:2327(estimate_diffuse_form_factors_3d)
        2    0.000    0.000    1.458    0.729 boundary_transport_3d.py:2047(_diffuse_form_factor_ray_samples_3d)
        2    0.007    0.003    1.457    0.729 boundary_transport_3d.py:1956(_diffuse_form_factor_ray_sample_block_3d)
        2    0.497    0.248    1.441    0.721 boundary_transport_3d.py:1878(_inset_diffuse_source_positions_3d)
