phase,phase_time_s,physical_time_s,components,void_points,active_points
initial,0,0,2,0,144
coat,0.125,0.125,2,0,156
coat,0.25,0.25,2,0,150
coat,0.375,0.375,2,0,150
coat,0.5,0.5,2,0,150
coat,0.625,0.625,2,0,150
coat,0.75,0.75,2,0,142
coat,0.875,0.875,2,0,142
coat,1,1,2,0,135
coat,1.125,1.125,2,0,134
coat,1.25,1.25,2,0,138
coat,1.375,1.375,2,0,137
coat,1.5,1.5,2,0,129
coat,1.625,1.625,2,0,132
coat,1.75,1.75,2,0,132
coat,1.875,1.875,3,60,113
sealed_reference,0,0,3,94,144
etch,0.125,0.125,3,100,150
etch,0.25,0.25,3,98,148
etch,0.375,0.375,3,106,156
etch,0.5,0.5,3,101,126
etch,0.625,0.625,3,101,151
etch,0.75,0.75,3,109,159
etch,0.875,0.875,3,107,157
etch,1,1,2,0,124
