electron_temperature_eV,a_3Pi_u_m3_s,A_1Pi_u_m3_s,b_3Pi_g_m3_s,B_1Pi_g_m3_s,C_1Delta_g_m3_s,c_3Sigma_g_minus_m3_s,D_1Sigma_g_plus_m3_s,e_3Sigma_u_plus_m3_s,summed_state_rate_m3_s
0.3,1.1437369574622929e-19,2.6195259654647614e-21,1.758477653281407e-24,7.007942590181965e-27,3.017315468349182e-28,8.667033608811656e-28,6.072864591656972e-29,5.6230282411803815e-31,1.1699498842701575e-19
0.31015015015015,1.6101851476095213e-19,4.2161042725322046e-21,3.543541725733067e-24,1.613573447856407e-26,7.155487093544032e-28,1.9350560445037318e-27,1.5002741235815182e-28,1.5543439352342186e-30,1.6523818151313108e-19
0.33016016016016,2.966597851054737e-19,9.893104230827327e-21,1.2423982951248362e-23,7.194584339190137e-26,3.362740592420968e-27,8.160374450130795e-27,7.585081520000195e-28,9.612087777111735e-30,3.0656539755633096e-19
0.35017017017017,5.087779024405712e-19,2.106903203359252e-20,3.771473549486726e-23,2.707131154881215e-25,1.3251341725985033e-26,2.9206131130495986e-26,3.188254606528395e-27,4.8300628181246975e-29,5.298849656168022e-19
0.37018018018018,8.21951442462068e-19,4.1369367133325367e-20,1.014780317240539e-22,8.8354390858454e-25,4.505216641837542e-26,9.109873030986632e-26,1.1479889813172273e-26,2.039533945427759e-28,8.634233190057659e-19
0.39019019019019,1.2627132171673935e-18,7.583412125728377e-20,2.4656654007200995e-22,2.5565055274555752e-24,1.351775894618357e-25,2.5292462577752257e-25,3.6261131121539723e-26,7.432689865544977e-28,1.3387968865768921e-18
0.4102002002002,1.8586127137326755e-18,1.3109040993346893e-19,5.491684888903021e-22,6.6742295212607e-24,3.6454775428716217e-25,6.3575696961038055e-25,1.0241832277183945e-25,2.38854918748609e-27,1.990260071496152e-18
0.43021021021021,2.6373334526382053e-18,2.154532828179971e-19,1.134961090604927e-21,1.594808206866604e-23,8.968523207515634e-25,1.466974442041996e-24,2.627333045649891e-25,6.88808433923081e-27,2.8539402780770274e-18
0.45022022022022,3.625927215038848e-18,3.389487377622021e-19,2.1984226481647576e-21,3.529246384071211e-23,2.037582624732094e-24,3.142890959890057e-24,6.200405070593528e-25,1.808394876233278e-26,3.967115486511096e-18
0.47023023023023,4.850196531974164e-18,5.132611967587701e-19,4.024433238232435e-21,7.304084490603715e-23,4.318634018325669e-24,6.311255789008836e-24,1.3605427530794248e-24,4.3743253353275315e-26,5.367567236991887e-18
0.49024024024024,6.3342330614898015e-18,7.516139885074256e-19,7.010990064129232e-21,1.4253189856003264e-22,8.61202601144264e-24,1.1973410725355247e-23,2.8006426780994513e-24,9.846882739977419e-26,7.09302405650816e-18
0.51025025025025,8.100103297564195e-18,1.0685953032770592e-18,1.1691713315435356e-20,2.6406852969149377e-22,1.627440830480805e-23,2.1603992659310604e-23,5.449000718763492e-24,2.080286535590838e-25,9.180697918116716e-18
0.53026026026026,1.016766358723191e-17,1.4799438689193177e-18,1.875682385482775e-20,4.672226409037074e-22,2.932177603145329e-23,3.728433342628974e-23,1.00845908555959e-23,4.154312280165461e-25,1.1666908608778499e-17
0.55027027027027,1.2554482149394685e-17,2.002308686102486e-18,2.907141155902948e-20,7.934301196763726e-22,5.0631511970406816e-23,6.184436114653246e-23,1.7850410692348552e-23,7.890232816632409e-25,1.4586786792482964e-17
0.57028028028028,1.527584509754848e-17,2.652996065051547e-18,4.3690044607589233e-20,1.2987970339133482e-21,8.416678900503259e-23,9.900698317133985e-23,3.036135147579247e-23,1.4328001962134665e-24,1.7974044972165374e-17
0.59029029029029,1.8344825003435107e-17,3.449715395602777e-18,6.386705354878929e-20,2.057021545067038e-21,1.352167169880233e-22,1.535286694674009e-22,4.982367717136159e-23,2.499006484937543e-24,2.1860805542201852e-17
0.6103003003003,2.177239325796116e-17,4.410332939055627e-18,9.106212142402123e-20,3.162327527034702e-21,2.1064453068806206e-22,2.3133021574761338e-22,7.916270336643153e-23,4.202975726380062e-24,2.627747598639337e-17
0.63031031031031,2.5567560664228858e-17,5.552640734156846e-18,1.2694109245399946e-19,4.732305177384046e-21,3.1913562834913213e-22,3.396123517981677e-22,1.221546728826024e-22,6.840029289990629e-24,3.12526625386994e-17
0.65032032032032,2.9737533872622404e-17,6.894145646221072e-18,1.733721561298786e-19,6.910560078706786e-21,4.714373495614586e-22,4.869518478104376e-22,1.8355852298862765e-22,1.080413312084594e-23,3.6813114986905544e-17
0.67033033033033,3.4287878174726604e-17,8.451881766015107e-18,2.3241775941966044e-19,9.869083766149547e-21,6.805829414915309e-22,6.833749302726869e-22,2.6924322234290037e-22,1.6607911445076612e-23,4.2983696592933074e-17
